title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Начинающий рекрутер,290000 - 290000 KZT,Алматы,Eurasian Machinery (Евразиан Машинери),22-10-2025 13:57:03,"Высшее / средне-специальное образование. Высокий уровень личной организованности, обучаемость. Ответственность, коммуникабельность, активность, внимательность. Умение работать с большим объёмом информации в...","Поиск кандидатов. Взаимодействие с площадками hh.kz, olx.kz, enbek.kz, jobs.kz, nur.kz и другими соц. сетями. Скрининг резюме кандидата. Проведение телефонных интервью. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126823572
Менеджер по подбору персонала,250000 KZT,Астана,ASAI-CLINIC,03-11-2025 11:41:01,"Человека, который любит HR: и цифры, и людей. Знает основы Трудового кодекса РК и ведет КДП «под ключ». ","Подбирать классных людей: размещение вакансий, поиск, интервью, адаптация. Вести полный цикл кадрового делопроизводства: прием, переводы, увольнения, отчеты, личные дела. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127251642
Ассистент рекрутера,120000 - 140000 KZT,Тараз,Вкусная корзинка,03-11-2025 07:30:35,Умеешь быстро находить общий язык с людьми и любишь живое общение. Аккуратен в работе с документами и таблицами. ,"Офисная часть (первая половина дня): Помощь рекрутеру в подборе персонала (поиск и первичный отбор кандидатов, работа с базой резюме). ","{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/127247727
Рекрутер в ресторанный холдинг SUN GROUP,300000 - 500000 KZT,Алматы,РестоГруп,19-11-2025 16:33:35,"Опыт работы в гостинично-ресторанном бизнесе на аналогичной должности обязателен! Знание всех методов поиска. Владение техниками поиска, подбора и оценки...","Поиск и подбор линейного персонала ориентированные на быстрое и качественное закрытие вакансий. Проводить телефонные и личные собеседования с кандидатами, при...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127116568
Менеджер по подбору персонала,250000 KZT,Алматы,Курманов,19-11-2025 09:43:47,"Человека с опытом в подборе персонала (или желанием активно развиваться в этой сфере). С быстрой реакцией, живым интересом к людям...","Вести активный массовый найм (менеджеры по продажам, руководителем отдела продаж, офисный персонал и др.). Размещать вакансии на платформах и в...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126850147
Ресечер / Помощник рекрутера,,Алматы,Elite Business Group,07-11-2025 09:49:57,Есть первичный опыт в продажах / call-центре (рекрутинг - преимущество).,Что делать: Искать кандидатов и проводить короткие интервью. Помогать рекрутерам в проектах. Обновлять базу данных и вести отчётность.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/124598408
Рекрутер-консультант,,Алматы,АНТАЛ БИЗНЕС РЕШЕНИЯ (ТМ Antal Kazakhstan),24-10-2025 09:03:04,"Высшее образование. Знание инструментов и методик подбора персонала. Опыт работы в подборе персонала. Умение работать в режиме многозадачности, правильное распределение...","Ответственность за полный цикл процесса подбора персонала, поиск кандидатов, проведение первичного собеседования, координация всех последующих этапов собеседования. Развитие бизнеса - поиск...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126896826
Руководитель отдела подбора персонала,,Алматы,Elite Business Group,09-11-2025 10:54:41,Опыт управления командой рекрутеров. Отличное знание рынка труда и каналов поиска. Умение строить стратегию найма и принимать решения. ,"Вести команду рекрутеров: ставить цели, развивать и поддерживать. Отвечать за полный цикл подбора — от заявки до выхода кандидата. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126391199
Рекрутер по ТОП вакансиям/Менеджер по подбору персонала,300000 - 700000 KZT,Алматы,SAMRUK Trade,18-11-2025 09:58:00,"Ищем людей надолго. Поэтому ожидается, что средний стаж вашей работы на одном месте составляет не менее 2,5-3х...","Розничная сеть магазинов под брендом ""Центр красок 1"". - Крупная дистрибуторская компания в рамках Казахстана и ЦА - ""AND Asia"". - И др. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/124623103
HR-менеджер/Рекрутер,300000 - 450000 KZT,Алматы,"Европос, ТОО",19-11-2025 09:11:58,"Человек с опытом работы в HR сфере от 3 лет, с опытом активного рекрутинга, готовый обучаться и предпочитающий работу в...","Управлять всем спектром HR процессов (кроме КДП): от рекрутинга и адаптации, до обучения и мотивации. Нанимать лучших специалистов и проводить...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127393133
