title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Product Designer,750000 - 1300000 KZT,Алматы,Kolesa (АО Колеса),06-11-2025 12:41:47,"Опыт работы с мобильными интерфейсами в продуктовой команде. Умение слушать и слышать разных стейкхолдеров. Навыки работы с аналитикой, проведения UX...","Быть важной частью Discovery-команды: предлагать идеи, формулировать и проверять гипотезы. Проектировать интерфейсы мобильных приложений (iOS, Android), десктопной и мобильной...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126649625
Дизайнер-визуализатор,600000 KZT,Алматы,Labirint.KZ,10-11-2025 10:47:49,Продвинутый пользователь AutoCAD. Продвинутый пользователь 3D MAX. Быстрообучаемый. Стрессоустойчивость. Готовность к командировкам.,Составлять чертежи с расстановкой. Визуализация объекта по чертежам. Делать 3D визуализацию.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127457531
Веб-дизайнер,,Актобе,Анвар,12-11-2025 14:56:45,Уверенное владение CorelDRAW и Adobe Photoshop. - Опыт в дизайне рекламных материалов. - Ответственность и внимание к деталям. - Умение работать в команде...,"Создавать макеты для полиграфии: листовки, плакаты, визитки, ценники и POS-материалы. - Разрабатывать макеты для наружной рекламы: баннеры, билборды и растяжки. - ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Проектная работа,https://hh.ru/vacancy/127597658
Графический дизайнер,300000 KZT,Алматы,КРЕАРЕ,13-11-2025 12:17:15,"Уверенно работать в графических редакторах (пакет Adobe + Figma+ Tilda). Обладать базовыми знаниями дизайна (композиция, цвет, метафора и знание инструментов...",Создавать цифровые и печатные рекламные материалы. Готовить анонсирующие материалы. Проектировать упаковку продуктов. Собирать презентации. Разрабатывать айдентику. Участвовать в создании лендингов.,"{'id': 'remote', 'name': 'Удаленная работа'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127628889
Дизайнер печатного издания,300000 KZT,Алматы,OYLA MEDIA GROUP,20-11-2025 13:58:07,"Высокий уровень проработки деталей, здоровый перфекционизм. Хороший художественный вкус, насмотренность в дизайне. Погружение в тему и стремление сделать качественный продукт. ","Вёрстка статей для международного научно-популярного журнала, ориентированного на подростков. Создание / подбор материала для иллюстраций, инфографик. Грамотные и интересные решения...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127917918
Графический дизайнер,300000 - 600000 KZT,Алматы,ОсОО Изи Фуд,04-11-2025 14:32:00,"Опыт работы графическим дизайнером от 1 года. Обязательное владение Adobe Photoshop, Coral и наличие этих программ. Опыт использования AI-инструментов...",Вставлять текст в макет книги по предоставленным шаблонам. Заменить лицо главного персонажа на предоставленное фото с помощью инструментов ИИ. ,"{'id': 'remote', 'name': 'Удаленная работа'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127263552
Моушн-дизайнер,15000 KZT,Астана,Набиев,14-11-2025 19:17:29,"Владение программами (After Effects, Premiere Pro, Cinema 4D, Photoshop). Знание основ дизайна, анимации и композиции. Художественный вкус и креативность. ","Создание анимированной графики для продвижения (рекламные ролики, посты в соцсетях). Разработка анимаций для сайта и приложений ресторана. Создание видеоконтента (заставки...","{'id': 'flexible', 'name': 'Гибкий график'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127732531
Дизайнер комплектатор,400000 - 600000 KZT,Алматы,Capella,20-11-2025 19:32:34,"Высшее образование , желательно архитектурное. Обязателен опыт работы в продаже или производстве кухонной мебели. Опытный пользователь ПК, опыт работы в программах...","Работа с клиентами: Оформление заказов, замеры у клиентов, проектирование всех типов мебели, разработка интерьера помещений. Заключение договора, размещение заказа на...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127335438
Менеджер по персоналу HR в студию дизайна интерьеров,,Алматы,Студия 40,15-11-2025 09:01:13,"11 лет опыта работы. - Высшее образование. - Опыт работы в HR с распределёнными командами, (желательно в студии дизайна интерьеров или архитектурной...","Подбор персонала, отбор и оценка кандидатов, развитие потенциала команды, мониторинг мотивации и вовлечённости сотрудников (дизайнеры-визуализаторы, дизайнеры-проектировщики), распределённая команда.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127741487
Видеомонтажёр + Дизайнер,400000 - 500000 KZT,Астана,Stay Study,20-11-2025 15:47:23,"Владение Adobe Premiere Pro, After Effects, Photoshop, Illustrator, Figma(или аналогами). Опыт цветокоррекции, работы со звуком и анимацией. ","Монтаж видеоуроков, рекламных и имиджевых роликов. Съёмка контента: уроки, промо, интервью, короткие видео для соцсетей. Настройка и проведение вебинаров, прямых...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127319868
"Менеджер по производству одежды (швейное производство, дизайнер одежды)",400000 KZT,Алматы,BASQA,12-11-2025 14:11:09,,"1. B2C-проекты (дропы): Анализировать продажи и планировать дропы: считать себестоимость, объёмы, тайминг и бюджет. Формировать заказы в...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127594196
Дизайнер-визуализатор,150000 - 250000 KZT,Астана,KOZ GROUP,11-11-2025 12:12:13,"Наличие портфолио, идеальное знание программ: 3ds Max, corona, photoshop. - Умение работать в рамках дедлайнов. - Иметь свое уникальное видение и...","Создание фотореалистичных 3D-визуализаций интерьеров, экстерьеров, благоустройства, МОП. - Создание дизайн-концепта. - Разработка концептуальных решений и подбор материалов, текстур, освещения...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127521716
Дизайнер интерьеров,15000 - 450000 KZT,Алматы,Area-L,20-11-2025 08:58:34,"Требования: опыт работы дизайнером интерьера не менее 3 лет , отличное знание AutoCad, умение выполнять рабочие чертежи, знание отделочных материалов и...",Обязанности : выполнение рабочих чертежей дизайна интерьера.,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127899532
"Менеджер по продажам (садовое направление, ландшафтный дизайн)",300000 KZT,Алматы,Shepa.kz,11-11-2025 10:23:22,Опыт в оптовых и розничных продажах. ПК - пользователь. Мобильность - возможность передвигаться городу. Условия:,Поиск и наработка новых клиентов и торговых точек. Личные оптовые и розничные продажи. Составление отчетности о проделанной работе (электронно).,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127508306
Менеджер-дизайнер рекламного агентства,250000 KZT,Астана,Q-stan Astana,14-11-2025 10:52:35,"Опыт работы в дизайне и менеджменте, наличие портфолио и/или сертификатов. Умение работать в команде и вести проекты. ","Вести проекты от брифа до сдачи: первое касание с клиентами и подрядчиками, контроль сроков, координация команды. Разработка и реализация дизайн...","{'id': 'flexible', 'name': 'Гибкий график'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127703013
