title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Hr manager,200000 KZT,Алматы,Telc,27-10-2025 09:13:32,Имеете опыт в качественном подборе персонала. Умеете находить решения для поставленных задач и проблем.,"Закрываете все задачи и доводите дела до конца, аккуратно и организованно относитесь к своей работе. Поиск и подбор персонала по...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126963000
HR-менеджер,400000 - 400000 KZT,Астана,«Dental Milling Center»,07-11-2025 10:08:58,Опыт работы <highlighttext>HR</highlighttext>-<highlighttext>менеджером</highlighttext> от 1 года (желательно в производственной или медицинской сфере). Знание основ трудового законодательства РК. ,Стратегическое планирование и управление всем циклом работы с персоналом (от привлечения до увольнения и развития). * Разработка HR-стратегии в соответствии...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127396225
Менеджер по продажам (рекрутинговые / HR-цифровые услуги),,Алматы,ЧК FLYHUNT LTD.,29-10-2025 19:58:09,"Опыт B2B-продаж именно в сфере рекрутинга, HR-сервисов, SaaS или консалтинга — обязателен. Умение говорить с HR-директором...","Вести цикл сделки: лид → переговоры → демо → договор → оплата. Работать с базой тёплых лидов и создавать собственный поток через LinkedIn, hh...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127122501
Менеджер по персоналу/HR специалист,450000 KZT,Алматы,ЧК Starlink Technology Ltd.,23-10-2025 11:03:25,"Высшее образование (предпочтительно в области управления персоналом, психологии, менеджмента или экономики). Опыт работы на аналогичной должности обязателен! Навыки работы с...","Полный цикл подбора персонала: размещение вакансий, поиск кандидатов, проведение собеседований. Ведение кадрового делопроизводства (прием, увольнение, переводы, подготовка приказов, договоров, соглашений...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126863242
HR Analyst,1300 USD,Алматы,DELTA EXPRESS INTERNATIONAL (ДЕЛЬТА ЭКСПРЕСС ИНТЕРНЭШНЛ),19-11-2025 14:31:06,"Опыт работы аналитиком от 3 лет (в HR или других направлениях). Высшее образование (математика, экономическая кибернетика, технические или IT-специальности). ",Организация процесса сбора и консолидации HR-данных из разных источников. Систематизация и унификация информации для построения корректной и стабильной отчетности. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127263541
HR coordinator,,Алматы,"Beeline, ТМ",10-11-2025 07:34:56,"Бренда в своей работе, ориентация на стратегию, видение и миссию Компании и пр.). Высшее образование в сфере менеджмента или экономики. ",Подбор и адаптация. Согласовывает заявки на подбор кандидатов на массовые позиции. Согласовывает Job Offer при приеме кандидатов на массовые позиции...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127438115
HR менеджер,300000 - 450000 KZT,Астана,КОЛЛЕКТОРСКОЕ АГЕНТСТВО ТОП-КОЛЛЕКТОР,20-11-2025 12:45:49,Опыт работы в управлении человеческими ресурсами (обязательно). Уверенный пользователь 1 С Бухгалтерия 8.3. Знание законодательства о труде и практический...,"Ведение кадровой документации: приказы, трудовые договора, табеля и т.д. Грамотное размещение вакансий (постоянный поиск, проведение собеседований, отбор и обучение...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127708818
HR менеджер/Рекрутер компании ЦАН,200000 - 450000 KZT,Астана,ЦАН,18-11-2025 13:39:06,Высшее или средне-специальное образование. ⁠ ⁠Опыт работы в сфере HR (но не обязателен). ⁠ ⁠Опыт работы в рекрутинге (обучаем всему). ,Поиск на “работных” платформах. Скрининг резюме на выявление потенциальных риэлторов. ⁠ Организация и проведение телефонного интервью. ⁠ Работа в системе CRM. ,"{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/127061082
Менеджер по подбору персонала/HR - Менеджер,300000 - 300000 KZT,Астана,Balbobek.kz,19-11-2025 14:24:59,Опыт работы в подборе персонала от 1 года. Знание рынка труда РК и эффективных каналов поиска. Хорошие коммуникативные навыки и...,"Полный цикл подбора персонала (офис, склады, магазины, логистика). Размещение вакансий на hh.kz, rabota.kz, Instagram, Telegram и других ресурсах. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127410840
HR-менеджер,250000 - 400000 KZT,Алматы,Moon,05-11-2025 11:27:09,"Устраивать мероприятия и конкурсы, чтобы поднимать рабочее настроение. Что мы ждём от тебя: Опыт работы в HR или подборе персонала. ","Проводить трёхдневную стажировку и вводить новичков в работу. Сопровождать каждого нового сотрудника первый месяц — это твой подопечный, ты помогаешь ему...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127290933
HR Brand Manager,,Алматы,Банк ЦентрКредит,04-11-2025 11:35:51,"Опыт работы в бренд-менеджменте или маркетинговых коммуникациях от 5 лет, желательно в крупных компаниях (FMCG, банки, телеком, IT, консалтинг). ","Разработка и реализация стратегии внешнего бренда работодателя. Развитие внешних коммуникаций: PR-активности, работа со СМИ, отраслевыми и профессиональными сообществами. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127261185
HR менеджер,400000 - 450000 KZT,Алматы,Максимальный размах corporation,18-11-2025 15:04:52,Опыт работы в HR от 3 лет. Сильный опыт именно в подборе персонала (массовый и управленческий подбор). Владение Excel. ,"Полный цикл подбора персонала. Адаптация новых сотрудников. Кадровое оформление (приём, перевод, увольнение). Ведение документации и HR-отчётности. Взаимодействие с руководителями...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127370995
HR BP/HR business partner,,Алматы,Defacto Retail Store Kz,19-11-2025 15:12:18,Minimum 3 years in a similiar position. Bachelor degree. Fluent English is a Must (double reporting). Skills of hard &soft...,"Business support on all HR issues (company staff - 600 employees in Kazakhstan, 60 employees in Uzbekistan). Organization, planning and construction...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127128862
HR менеджер,,Алматы,French Bakery,30-10-2025 18:13:47,"Опыт работы в ресторанном направлении ОБЯЗАТЕЛЕН! Знание основ трудового законодательства РК. Навыки подбора, оценки, адаптации и развития персонала. ","Поиск , отбор и оценка персонала. Проведение интервью, тестирований, участие в формировании кадрового резерва. Разработка и проведение обучении, тренингов для линейного...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127159857
HR Manager / Рекрутер,1000 USD,Астана,Fuse,05-11-2025 23:00:25,"Опыт работы в HR и подборе персонала от 3 лет. Уровень английского языка от С1. Развитые коммуникативные навыки, умение...","Вести полный цикл работы с персоналом: от составления вакансий и поиска кандидатов до проведения интервью, онбординга и сопровождения увольнений. ","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127337679
